client_id,executive_id,cat_id,city_id,status,title,description,budget
2,1,3,15,"new","Suspendisse potenti.","In eleifend quam a odio. In hac habitasse platea dictumst",5500
1,2,2,52,"in progress","Nam ultrices","libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra",6800
3,2,1,85,"completed","Nulla ut erat id mauris","Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla.",4750
5,4,4,36,"new","Nullam varius. Nulla facilisi.","Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.",9800
4,3,2,115,"failed","Fusce consequat. Nulla nisl.","Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",2300
5,1,2,34,"new","lorem id ligula.","Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",3000
2,5,1,55,"completed","Integer pede justo","Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",5300
4,2,2,60,"new","Morbi sem mauris","Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",3500
1,2,5,12,"in progress","tincidunt ante vel","Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.",9990
5,1,5,33,"new","Fusce posuere felis","Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",5500
